,acousticness,danceability,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
14,0.238,0.715,0.0,4,0.0941,3.373,1,0.12,171.887,4,0.888
15,0.0614,0.924,0.000632,8,0.127,0.228,1,0.285,132.958,4,0.708
16,0.0558,0.939,0.0,1,0.0546,1.99,1,0.216,129.946,4,0.627
17,0.65,0.953,0.0,10,0.0607,5.818,0,0.0746,131.991,4,0.62
18,0.564,0.656,0.00583,7,0.0733,0.111,0,0.131,132.956,4,0.838
19,0.0799,0.931,2.6e-05,2,0.101,3.39,1,0.0701,129.933,4,0.0966
20,0.0536,0.902,0.0,6,0.165,4.255,0,0.0752,129.913,4,0.432
21,0.0203,0.891,1.82e-06,11,0.307,6.41,0,0.071,132.033,4,0.582
22,0.0641,0.787,0.0,11,0.333,6.335,0,0.475,129.674,4,0.489
23,0.0604,0.949,0.0,5,0.0744,5.215,1,0.317,129.988,4,0.584
24,0.202,0.669,0.0,4,0.346,9.021,0,0.414,128.179,4,0.753
25,0.0439,0.807,0.0,7,0.292,3.42,1,0.203,89.958,4,0.686
26,0.00969,0.887,0.00422,4,0.0762,2.874,1,0.252,130.057,4,0.455
27,0.214,0.923,0.0,0,0.165,2.817,1,0.179,129.944,4,0.585
28,0.177,0.602,0.0,5,0.119,6.188,1,0.118,114.355,1,0.855
29,0.0254,0.71,0.0,0,0.624,7.012,1,0.178,127.867,4,0.501
30,0.253,0.504,0.0,3,0.155,2.917,0,0.276,179.877,4,0.801
31,0.327,0.751,3.54e-05,4,0.18,4.703,0,0.0497,95.054,4,0.797
32,0.0659,0.761,0.0,1,0.103,7.617,1,0.0603,169.854,4,0.77
33,0.115,0.699,0.0,8,0.157,2.227,0,0.111,121.653,3,0.691
34,0.26,0.936,0.0,5,0.0765,2.978,0,0.048,130.069,4,0.666
35,0.164,0.852,0.00406,8,0.051,6.51,1,0.0606,86.651,5,0.972
36,0.0312,0.836,0.0,11,0.0623,3.257,1,0.161,86.629,5,0.388
37,0.055,0.804,2.26e-06,7,0.0873,7.905,1,0.0531,94.981,4,0.588
38,0.0813,0.879,0.0,9,0.0967,3.932,0,0.112,95.06,4,0.789
39,0.152,0.881,0.0,1,0.132,2.838,1,0.0886,130.11,4,0.259
40,0.354,0.674,0.0,7,0.115,4.63,1,0.287,163.896,4,0.874
41,0.431,0.644,0.0,7,0.0815,4.791,0,0.353,87.492,5,0.601
42,0.637,0.903,2.1e-06,10,0.0369,4.662,1,0.187,129.932,4,0.788
43,0.374,0.635,6.56e-06,7,0.111,1.407,1,0.377,86.446,5,0.504
44,0.00257,0.828,0.00394,10,0.0975,4.333,0,0.0369,130.023,4,0.473
45,0.202,0.944,0.0,6,0.0667,1.199,1,0.0697,130.012,4,0.915
46,0.0506,0.606,0.0,1,0.0938,2.431,0,0.53,172.335,5,0.614
47,0.141,0.625,0.0,11,0.301,4.36,1,0.174,129.844,4,0.789
48,0.192,0.796,0.0,7,0.113,4.2,1,0.208,87.759,5,0.572
49,0.609,0.94,0.0,3,0.523,0.852,1,0.276,129.997,4,0.595
0,0.0255,0.553,0.000101,8,0.125,0.355,1,0.0673,86.559,5,0.608
1,0.189,0.814,0.0,3,0.0876,0.02,0,0.0359,130.099,4,0.706
