,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
35,,0.149,https://api.spotify.com/v1/audio-analysis/5RYDOuZRPuFz6rD4JW3rwf,Audien,0.51,169011,1,0.679,0,5RYDOuZRPuFz6rD4JW3rwf,6.46e-05,5,0.116,3.857,0,0,0,0,0,Message,0.04,127.979,4,https://api.spotify.com/v1/tracks/5RYDOuZRPuFz6rD4JW3rwf,audio_features,spotify:track:5RYDOuZRPuFz6rD4JW3rwf,0.129
36,,0.0448,https://api.spotify.com/v1/audio-analysis/6NMdQCrpO1pX0EbyIckRgG,Dannic,0.522,221760,1,0.772,0,6NMdQCrpO1pX0EbyIckRgG,0.00488,4,0.307,3.738,0,0,0,0,0,Alive - Radio Mix,0.0465,124.968,4,https://api.spotify.com/v1/tracks/6NMdQCrpO1pX0EbyIckRgG,audio_features,spotify:track:6NMdQCrpO1pX0EbyIckRgG,0.308
37,,0.0194,https://api.spotify.com/v1/audio-analysis/1oqniN5rzgvhAWoq4HgY2W,Chris Lake,0.699,218639,1,0.936,0,1oqniN5rzgvhAWoq4HgY2W,0.000431,7,0.0506,5.601,0,0,0,0,0,Nothing Better,0.125,125.946,4,https://api.spotify.com/v1/tracks/1oqniN5rzgvhAWoq4HgY2W,audio_features,spotify:track:1oqniN5rzgvhAWoq4HgY2W,0.369
38,,0.255,https://api.spotify.com/v1/audio-analysis/1PM8OIREXRl5lFb06852rr,R3HAB,0.718,160286,1,0.681,0,1PM8OIREXRl5lFb06852rr,1.88e-05,5,0.208,4.593,0,0,0,0,0,You Could Be,0.0361,139.99,4,https://api.spotify.com/v1/tracks/1PM8OIREXRl5lFb06852rr,audio_features,spotify:track:1PM8OIREXRl5lFb06852rr,0.356
39,,0.0138,https://api.spotify.com/v1/audio-analysis/1Ht5dWBnyTAnVdlbQPV0dZ,Qulinez,0.581,200021,1,0.842,0,1Ht5dWBnyTAnVdlbQPV0dZ,0.0,5,0.525,4.739,0,0,0,0,0,World Gone Crazy,0.093,179.959,4,https://api.spotify.com/v1/tracks/1Ht5dWBnyTAnVdlbQPV0dZ,audio_features,spotify:track:1Ht5dWBnyTAnVdlbQPV0dZ,0.47
40,,0.0152,https://api.spotify.com/v1/audio-analysis/7hXVlVoYvSUMwz8XuXfK58,Sub Focus,0.557,233586,1,0.834,0,7hXVlVoYvSUMwz8XuXfK58,0.00156,4,0.108,4.848,0,0,0,0,0,Trouble,0.0479,172.048,4,https://api.spotify.com/v1/tracks/7hXVlVoYvSUMwz8XuXfK58,audio_features,spotify:track:7hXVlVoYvSUMwz8XuXfK58,0.359
41,,0.354,https://api.spotify.com/v1/audio-analysis/1AadnQdLjWmV9nQLJMyRoN,Maya Jane Coles,0.733,187720,1,0.873,0,1AadnQdLjWmV9nQLJMyRoN,0.951,2,0.134,6.291,0,0,0,0,0,On My Way,0.0423,125.027,4,https://api.spotify.com/v1/tracks/1AadnQdLjWmV9nQLJMyRoN,audio_features,spotify:track:1AadnQdLjWmV9nQLJMyRoN,0.349
42,,0.117,https://api.spotify.com/v1/audio-analysis/6V4vRhIBYPJFCmuMQfN6VL,EDX,0.668,193049,1,0.883,0,6V4vRhIBYPJFCmuMQfN6VL,0.81,7,0.153,4.802,0,0,0,0,0,Daybreak,0.0397,123.012,4,https://api.spotify.com/v1/tracks/6V4vRhIBYPJFCmuMQfN6VL,audio_features,spotify:track:6V4vRhIBYPJFCmuMQfN6VL,0.341
43,,0.00646,https://api.spotify.com/v1/audio-analysis/0MHJ3Obkdl3EN29A8nv6uz,Jauz,0.617,238594,1,0.945,0,0MHJ3Obkdl3EN29A8nv6uz,2.11e-05,10,0.501,2.748,0,0,0,0,0,Feel The Volume - JOYRYDE 'Stick It In Reverse' Mix,0.205,127.986,4,https://api.spotify.com/v1/tracks/0MHJ3Obkdl3EN29A8nv6uz,audio_features,spotify:track:0MHJ3Obkdl3EN29A8nv6uz,0.293
44,,0.435,https://api.spotify.com/v1/audio-analysis/4WTpRSBkVNm2aa2IuFXrsT,Maya Jane Coles,0.697,298199,1,0.585,0,4WTpRSBkVNm2aa2IuFXrsT,0.832,3,0.105,10.216,0,0,0,0,0,Won't Let You Down,0.0279,125.019,4,https://api.spotify.com/v1/tracks/4WTpRSBkVNm2aa2IuFXrsT,audio_features,spotify:track:4WTpRSBkVNm2aa2IuFXrsT,0.584
45,,0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,Marshmello,0.52,180823,1,0.761,0,7vGuf3Y35N4wmASOKLUVVU,4.96e-06,4,0.17,3.093,0,1,0,0,0,Silence,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.286
46,,0.0166,https://api.spotify.com/v1/audio-analysis/2CkNxPDokO8Rp83H504VUJ,FTampa,0.527,206907,1,0.851,0,2CkNxPDokO8Rp83H504VUJ,0.0,11,0.0493,4.102,0,1,0,0,0,Light Me Up,0.0509,96.962,4,https://api.spotify.com/v1/tracks/2CkNxPDokO8Rp83H504VUJ,audio_features,spotify:track:2CkNxPDokO8Rp83H504VUJ,0.49
47,,0.00179,https://api.spotify.com/v1/audio-analysis/6WbADFqMvR8N5u0BvtsWQE,Avicii,0.652,181673,1,0.855,0,6WbADFqMvR8N5u0BvtsWQE,0.0,2,0.0404,4.832,0,1,0,0,0,Without You (feat. Sandro Cavazza),0.0441,134.009,4,https://api.spotify.com/v1/tracks/6WbADFqMvR8N5u0BvtsWQE,audio_features,spotify:track:6WbADFqMvR8N5u0BvtsWQE,0.279
48,,0.0323,https://api.spotify.com/v1/audio-analysis/4q8PHoRsPUB52LFylX8Ulz,Axwell /\ Ingrosso,0.645,203000,1,0.741,0,4q8PHoRsPUB52LFylX8Ulz,0.0,5,0.29,4.989,0,0,0,0,0,More Than You Know,0.0339,123.07,4,https://api.spotify.com/v1/tracks/4q8PHoRsPUB52LFylX8Ulz,audio_features,spotify:track:4q8PHoRsPUB52LFylX8Ulz,0.534
49,,0.00217,https://api.spotify.com/v1/audio-analysis/1pDDDtySN1U57vTmCexPmu,Cat Dealers,0.672,210421,1,0.782,0,1pDDDtySN1U57vTmCexPmu,0.000926,11,0.169,5.648,0,0,0,0,0,Sober,0.0322,124.026,4,https://api.spotify.com/v1/tracks/1pDDDtySN1U57vTmCexPmu,audio_features,spotify:track:1pDDDtySN1U57vTmCexPmu,0.0898
